customer_id,first_name,last_name,email,street,city,state,country
0,Kevin,Mata,markmahoney@example.com,831 Jason Station Apt. 535,Millerland,New Hampshire,Namibia
1,Kelly,Fernandez,jonathanshelton@example.org,4368 Smith Square Suite 405,Jonesshire,Missouri,Sudan
2,Michael,Miller,chelseyhoward@example.com,6506 Jeanne Key Apt. 132,New Crystal,California,Ukraine
3,Deborah,Vaughn,ejones@example.com,8979 Hicks Underpass Suite 553,Simsstad,Vermont,Anguilla
4,Richard,Conrad,williamanderson@example.net,3381 Angela Oval,Susanville,Illinois,New Caledonia
5,Nathan,Garcia,wayne19@example.org,23173 Reese Park,West Michael,Virginia,Netherlands Antilles
6,Patrick,Wilson,royrussell@example.org,44235 Good Mill,Kingfurt,New Jersey,Hong Kong
7,Gregory,Juarez,janetkim@example.net,3805 Luis Row,Lake Danielleport,Kentucky,United Kingdom
8,Sean,Baxter,michael77@example.org,67798 Charles Tunnel Suite 343,Lake Tina,Tennessee,Cocos (Keeling) Islands
9,Joshua,Lee,adamberry@example.org,469 Lauren Trafficway Suite 122,Thomasside,West Virginia,New Caledonia
10,Greg,Harper,jason74@example.net,1122 Frost Ridge Apt. 835,Alyssashire,Alabama,American Samoa
11,Bonnie,Myers,alexiskey@example.org,56446 Howell Village Apt. 084,Stevenmouth,Florida,Australia
12,Kristen,Campbell,martinyvonne@example.net,68901 Sanders Ridges,Waltersberg,South Dakota,Paraguay
13,Tara,Lynch,nicole23@example.org,7565 Long Crescent Apt. 297,Virginiamouth,Hawaii,Slovenia
14,David,Jenkins,dennis32@example.net,696 Nicholas Isle Apt. 222,Lake Rachel,Hawaii,Namibia
15,Reginald,Fleming,kcampbell@example.com,5571 James Well,West Lauren,Delaware,Faroe Islands
16,Brittany,Perry,marie82@example.net,6083 John Heights Suite 323,New Mariaside,Washington,Mayotte
17,Elizabeth,Jones,christinaturner@example.net,54570 Jessica Square,Lake Vanessamouth,New Jersey,Burundi
18,Tom,Davis,kelly79@example.net,90425 Smith Isle,Lake James,New Jersey,Jamaica
19,Susan,Kennedy,villajacqueline@example.org,65714 Pittman Mission Apt. 365,Port Kimberly,Illinois,Slovenia
20,Dawn,Krueger,vernonlamb@example.net,5270 Kaitlin Corners Apt. 882,Christopherburgh,Hawaii,Panama
21,Bruce,James,cpugh@example.org,5369 Fitzpatrick Meadows Suite 917,Annport,New Hampshire,Turkmenistan
22,Jeffrey,Santana,eguerrero@example.com,680 Brittney Crossroad Suite 417,South Jenniferview,Idaho,Georgia
23,Veronica,Lynch,olsonjoshua@example.com,21810 Walsh Freeway Apt. 947,Derrickhaven,Arkansas,Djibouti
24,Richard,Williams,gilmorepeter@example.net,627 Sean Springs,South Sierrafurt,Nebraska,Indonesia
25,Vincent,Chen,cassidygamble@example.org,683 Chapman River Apt. 391,Port Monica,Montana,Sweden
26,Sarah,Villarreal,cameron56@example.org,585 Cynthia Point,Port Carl,Maine,Madagascar
27,Michele,James,zgarcia@example.org,401 Manuel Greens,South Christopher,Idaho,Congo
28,Matthew,Reese,rhampton@example.net,1044 Jonathan Knoll,Ballfurt,New York,Mozambique
29,Katelyn,Anderson,soniamcbride@example.org,34728 Robert Shoals Apt. 493,Millerville,North Dakota,Eritrea
30,Victoria,Davis,joshua30@example.com,81496 Jerry Path Suite 136,Kathrynshire,New Jersey,Chad
31,Laurie,Martinez,smithjohn@example.org,89279 Bryan Well,Marthaview,Virginia,Cape Verde
32,Justin,Kelly,webstergina@example.org,707 Jocelyn Keys Apt. 356,Davidborough,Alaska,Svalbard & Jan Mayen Islands
33,Jason,Davis,weberthomas@example.com,3133 Michael Way Apt. 040,Natalieburgh,Oregon,Vietnam
